mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-4.58328,3.12509,-4.62553,3.35245,-5.83293,3.70063,hand_wash
-4.40434,3.09951,-6.96457,4.40847,-3.53944,5.42455,hand_wash
-4.74613,3.54043,-5.18093,3.39169,-5.68606,5.47656,hand_wash
-3.89344,3.37221,-7.17799,4.67113,-1.98339,5.46406,hand_wash
-3.64322,2.40011,-6.17205,3.25716,3.25348,4.52820,hand_wash
-3.36826,1.45647,-3.09508,0.72450,8.48361,1.97527,hand_wash
-1.23968,1.05718,-6.23159,3.11770,2.10820,6.41907,hand_wash
-3.24732,3.15619,-7.85174,5.00747,-1.47967,6.22051,hand_wash
-3.50165,3.79505,-6.77832,3.81293,-3.71011,5.91569,hand_wash
-3.39187,2.99241,-6.86803,4.13334,-2.43206,6.64578,hand_wash
-3.18396,2.52355,-6.29350,3.36772,1.86884,6.28683,hand_wash
-1.02792,3.96018,-4.10096,3.47126,7.89553,4.10039,hand_wash
-2.26173,1.20924,-5.70541,2.53717,-0.74434,6.85150,hand_wash
-2.99957,3.14774,-7.39666,4.83462,-3.24992,6.19009,hand_wash
-2.84538,3.66052,-6.18753,3.21581,-5.03193,4.91596,hand_wash
-3.41628,4.53777,-7.62086,4.12065,-3.92289,7.65523,hand_wash
-2.88793,3.11190,-6.66984,3.88448,-2.11672,6.19507,hand_wash
-1.07115,2.91383,-3.73288,1.93232,8.18454,4.76917,hand_wash
-1.88317,2.90813,-3.66487,2.83036,8.88603,4.58254,hand_wash
4.44625,1.48760,-5.82860,2.94989,5.67389,3.83797,hand_wash
6.15695,1.78308,-4.64920,2.71797,5.09509,2.22250,hand_wash
4.11727,1.87957,-3.42885,2.62863,7.11321,4.10573,hand_wash
4.40130,1.83844,-6.88091,2.29751,3.86061,3.00133,hand_wash
5.16174,1.46139,-6.56670,2.92203,2.82477,3.20704,hand_wash
3.31420,1.90060,-5.85739,4.37031,2.22414,4.84261,hand_wash
4.71618,1.53228,-7.55177,2.13267,1.55072,2.62174,hand_wash
3.82873,1.05666,-8.28477,2.78955,0.27621,3.04071,hand_wash
2.30100,2.30636,0.57162,5.33128,8.19265,3.20044,hand_wash
3.72643,1.61633,-8.46542,2.70282,1.30726,2.47254,hand_wash
4.35166,1.20210,-5.30054,3.55260,4.95574,3.76791,hand_wash
-1.48262,3.56337,-6.50669,4.85685,2.56243,6.26461,hand_wash
-3.10714,3.51288,-7.31519,3.54588,-5.21640,5.62017,hand_wash
-2.50770,3.23352,-7.93360,3.75668,-3.81558,4.64128,hand_wash
-3.78687,2.14628,-7.37527,2.91112,-1.46577,4.14342,hand_wash
-3.90011,2.81715,-7.05515,2.74360,-4.54099,3.85935,hand_wash
-3.68842,2.24417,-7.24259,3.88347,-2.29701,4.32707,hand_wash
