mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-9.18857,3.97657,-9.28130,9.99094,-3.99655,3.22745,-3.27399,5.13071,-0.06074,4.33560,-0.56642,4.32674,not_hand_wash
2.92383,2.06837,2.64410,3.57861,-5.27495,2.29380,-5.12774,5.74599,1.41441,6.53422,2.17647,6.65963,not_hand_wash
0.97147,3.10930,2.14714,3.24798,-6.45958,3.86761,-7.98380,7.51735,-3.82113,4.10837,-1.58850,5.59615,not_hand_wash
2.12721,1.18043,2.49262,2.42483,-8.76189,2.12100,-9.12263,9.00030,-0.46417,1.00510,-0.46463,1.10251,not_hand_wash
-3.01635,7.55989,1.01733,8.12489,-5.94159,3.13428,-6.71923,6.69731,-0.55659,2.04863,-0.31854,2.11827,not_hand_wash
-1.82747,5.03840,-0.28381,5.31818,-2.77624,6.73733,-2.62135,7.26889,-7.90503,7.28201,-8.68314,10.73973,not_hand_wash
-0.57623,3.45724,1.01908,3.49895,-0.11544,2.86851,0.50067,2.86539,-8.00008,2.50751,-8.80289,8.36461,not_hand_wash
2.52165,3.47398,2.00942,4.27964,2.96899,8.87304,5.23192,9.33163,3.52774,6.01684,5.52292,6.96585,not_hand_wash
2.14479,1.52811,1.59987,2.63098,7.07706,2.40835,7.15392,7.45912,5.72570,2.79857,5.95162,6.36220,not_hand_wash
1.60544,3.23061,2.08247,3.60251,5.92139,4.53751,5.64805,7.43526,5.57433,4.34409,7.67544,7.06222,not_hand_wash
1.82352,0.97962,1.68849,2.06317,6.39010,1.89378,6.64139,6.65716,6.98705,2.31809,7.48803,7.34526,not_hand_wash
0.55835,0.47190,0.58139,0.70639,8.72299,1.97544,9.06754,8.92908,4.49171,1.17852,4.82477,4.64240,not_hand_wash
0.44938,0.17320,0.48619,0.48083,8.69932,1.93855,9.14658,8.89692,4.54932,1.03095,4.72178,4.65729,not_hand_wash
0.42217,0.19732,0.43829,0.46544,8.40287,1.88873,8.86157,8.59914,5.11041,1.18563,5.26844,5.23626,not_hand_wash
0.34208,0.22604,0.34369,0.40923,8.38189,1.94532,8.75499,8.58941,5.09963,1.20209,5.45825,5.23208,not_hand_wash
0.28243,0.09890,0.29519,0.29891,8.41226,1.86993,8.82086,8.60271,5.11464,1.13833,5.35526,5.23068,not_hand_wash
0.42371,0.13161,0.44068,0.44340,8.51317,1.90247,8.93582,8.70898,4.91228,1.13160,5.15887,5.03115,not_hand_wash
1.66232,5.65952,0.52511,5.89013,6.63593,4.35756,9.04838,7.91878,1.37276,3.27619,1.52742,3.53745,not_hand_wash
0.77840,3.51953,0.44787,3.57616,3.07728,6.65717,3.31590,7.32077,5.64779,4.49501,6.09832,7.20258,not_hand_wash
6.82276,1.60884,7.12219,6.99733,6.55638,1.50506,6.84257,6.71542,1.38945,0.70714,1.56095,1.55424,not_hand_wash
6.91657,1.55495,7.19284,7.07580,6.43065,1.46834,6.82640,6.58476,1.39255,0.49018,1.46036,1.47440,not_hand_wash
4.51802,4.81777,7.50000,6.58631,4.74141,3.70248,6.34321,6.00061,2.81310,3.18059,1.25140,4.24187,not_hand_wash
-2.82687,0.97056,-3.05964,2.98475,1.01911,1.96152,1.34720,2.20550,9.29065,2.48418,9.77048,9.60264,not_hand_wash
-0.86705,4.39726,-3.00635,4.47078,0.89582,4.50915,1.56634,4.59002,5.97052,6.22769,9.44237,8.60391,not_hand_wash
6.43469,2.02975,6.63301,6.73317,3.82018,3.46575,4.30625,5.14927,2.84210,4.32069,5.40316,5.16442,not_hand_wash
1.50159,3.76371,0.91130,4.02486,5.66633,5.10764,6.71683,7.60982,5.89057,4.35184,5.30856,7.31378,not_hand_wash
0.88619,0.24600,0.91490,0.91807,8.01049,1.78570,8.38257,8.19142,5.70201,1.28895,6.01629,5.83871,not_hand_wash
0.80702,0.24201,0.86161,0.84012,8.04415,1.79903,8.39933,8.22931,5.64941,1.26221,5.93546,5.77837,not_hand_wash
0.85649,0.51980,0.86221,1.00009,8.06829,1.78881,8.40951,8.25032,5.66618,1.22229,5.99354,5.78603,not_hand_wash
1.97900,5.18180,1.02939,5.53918,2.95391,8.12363,4.18230,8.61787,2.46932,6.70301,2.14115,7.12461,not_hand_wash
7.47276,1.93146,7.98619,7.71269,5.60641,1.68674,5.80074,5.83660,0.41210,1.48807,0.32393,1.53216,not_hand_wash
7.72823,1.45494,8.00895,7.84970,5.22556,1.68941,5.50615,5.47696,1.24278,2.06261,1.16398,2.40495,not_hand_wash
7.67580,1.92076,7.93410,7.90128,5.44663,1.80700,5.88516,5.72758,0.02103,1.75461,-0.16825,1.75171,not_hand_wash
-6.27619,6.24912,-7.14674,8.83869,2.74495,5.09093,1.92679,5.73169,3.44686,5.47482,5.03732,6.46123,not_hand_wash
2.64593,3.68314,2.67045,4.53007,6.92238,3.93844,7.37546,7.94088,1.54857,4.79540,1.00112,5.01539,not_hand_wash
2.78372,1.79722,2.50639,3.30852,6.07417,2.23373,6.16777,6.46076,6.41272,3.42328,7.93829,7.25188,not_hand_wash
6.07601,3.42329,7.63173,6.95533,3.93594,6.06712,5.43669,7.21505,1.11041,2.68524,1.09692,2.86929,not_hand_wash
6.15160,2.45868,7.47845,6.60757,6.16891,1.52384,6.27316,6.34468,2.34276,3.02540,1.09991,3.82216,not_hand_wash
6.19465,3.50012,7.91853,7.11089,4.02357,4.01431,3.51649,5.66067,-1.06832,4.22241,-2.08067,4.33511,not_hand_wash
5.18689,1.75652,5.70374,5.45737,4.91926,2.49870,5.42831,5.51283,6.04710,2.54471,6.11808,6.55903,not_hand_wash
-0.85664,2.01341,-0.91071,2.17874,1.99174,6.73327,1.27774,7.01091,4.29677,5.93452,7.16829,7.30092,not_hand_wash
7.62399,3.08089,9.11724,8.22111,2.61552,3.89338,1.68969,4.64922,-0.26222,2.66892,-1.04183,2.66860,not_hand_wash
2.42411,2.55907,2.32077,3.51458,2.44366,4.33374,1.16039,4.96878,8.05059,3.33798,8.11193,8.69624,not_hand_wash
2.28874,0.60475,2.45729,2.36549,5.65697,1.38776,5.78397,5.81526,7.73869,1.81442,8.24605,7.93721,not_hand_wash
2.30557,0.60051,2.43454,2.37865,5.75747,1.34001,6.00132,5.90187,7.70749,1.74642,8.06044,7.88893,not_hand_wash
2.49961,0.61685,2.60339,2.56996,6.22307,1.52776,6.43302,6.39519,7.25461,1.67069,7.71077,7.43255,not_hand_wash
2.53849,0.56975,2.65488,2.59658,5.88923,1.32118,6.16897,6.02608,7.54357,1.68196,7.91734,7.71500,not_hand_wash
2.55735,0.59741,2.68362,2.62161,6.17715,1.44692,6.48571,6.33441,7.24297,1.67758,7.62574,7.42112,not_hand_wash
1.11591,4.89722,1.21128,5.01236,6.31763,6.63379,7.90776,9.14576,1.87109,4.02271,1.37594,4.40766,not_hand_wash
3.13610,3.04665,1.50946,4.36845,5.95771,3.86543,7.88321,7.07769,0.17407,5.27154,0.07245,5.26617,not_hand_wash
6.90422,1.55431,7.20961,7.06244,6.51089,1.47612,6.81144,6.66709,0.95138,0.32519,1.03405,1.00374,not_hand_wash
6.87640,1.58259,7.23535,7.04399,6.47232,1.48923,6.80605,6.63136,1.04969,0.25545,1.09991,1.07773,not_hand_wash
7.00283,1.54812,7.34912,7.15993,6.32143,1.46085,6.60906,6.47679,1.36345,0.98905,1.15440,1.68237,not_hand_wash
5.02020,3.14183,7.07609,5.90407,7.30898,2.17688,6.87850,7.61817,0.52633,1.86296,1.33223,1.93108,not_hand_wash
6.49498,1.86628,7.12279,6.75644,6.64169,1.76992,6.78030,6.85263,0.72000,1.20694,1.04662,1.40239,not_hand_wash
4.30794,4.02590,5.91330,5.87875,5.23333,5.95996,6.35758,7.91443,3.18380,5.67976,1.73759,6.50247,not_hand_wash
2.26791,1.64253,2.45070,2.79862,6.76628,4.60696,7.00244,8.16145,5.85101,3.22125,7.00783,6.67043,not_hand_wash
2.27931,0.56139,2.40340,2.34342,6.66042,1.55382,6.91263,6.82765,6.92899,1.59485,7.29882,7.09774,not_hand_wash
1.98438,0.47489,2.07409,2.03817,6.73428,1.57735,7.02220,6.90393,6.91423,1.60943,7.31439,7.08713,not_hand_wash
2.13685,0.48413,2.23575,2.18798,6.74016,1.50476,7.07010,6.89143,6.92074,1.54057,7.25691,7.07953,not_hand_wash
3.27319,2.92157,2.26509,4.38254,6.35736,3.28583,7.04315,7.14266,4.09931,4.79919,7.18027,6.29316,not_hand_wash
2.54817,3.15061,1.31606,3.99887,1.27159,4.57634,0.54068,4.73352,5.56115,6.80734,9.65792,8.77506,not_hand_wash
7.37093,1.87364,7.93051,7.59914,3.72284,1.03138,3.85179,3.85128,5.06450,1.39156,4.99002,5.24370,not_hand_wash
7.35618,1.69094,7.72633,7.53481,3.86376,0.90586,4.04878,3.96302,4.85698,1.12276,5.09840,4.97657,not_hand_wash
7.40102,1.64745,7.75986,7.56882,3.82128,0.86563,3.99370,3.91165,4.87095,1.09154,5.08702,4.98306,not_hand_wash
7.39028,1.64323,7.75208,7.55743,3.87328,0.86481,4.04878,3.96185,4.84561,1.07961,5.07984,4.95589,not_hand_wash
7.44204,1.65885,7.76465,7.61214,3.81008,0.87801,4.03561,3.90275,4.81297,1.07941,5.06187,4.92413,not_hand_wash
7.48413,1.71864,7.87363,7.66586,3.69535,0.85011,3.88831,3.78539,4.76242,1.09403,5.01038,4.87798,not_hand_wash
7.48499,1.66956,7.84369,7.65582,3.68133,0.84260,3.83802,3.76999,4.84257,1.08364,5.06906,4.95399,not_hand_wash
7.47130,1.66117,7.82333,7.64096,3.78330,0.86776,3.94520,3.87586,4.79693,1.07373,5.02834,4.90692,not_hand_wash
7.43739,1.66435,7.80058,7.60834,3.93025,0.92947,4.06315,4.03184,4.72472,1.06577,4.94452,4.83528,not_hand_wash
4.56055,3.97813,6.95873,6.03160,2.41911,2.45390,3.89310,3.43670,6.51482,2.84766,5.17324,7.10287,not_hand_wash
1.85182,2.03617,2.23934,2.74718,3.86512,7.25973,6.49709,8.21353,6.79777,3.85946,7.48264,7.79499,not_hand_wash
2.22962,0.52693,2.31419,2.28735,6.56816,1.48688,6.92101,6.72219,7.04046,1.58900,7.34672,7.20548,not_hand_wash
