@RELATION wada

@ATTRIBUTE mean_x numeric
@ATTRIBUTE std_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE std_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE std_z numeric
@ATTRIBUTE Activity {hand_wash,not_hand_wash}

@DATA
-1.84778,1.17796,9.05002,1.98366,-2.52436,1.96459,not_hand_wash
5.74348,3.15225,5.26906,3.49703,-1.80721,1.17671,not_hand_wash
9.14001,1.97186,1.01013,0.76650,-1.13353,0.53346,not_hand_wash
8.07772,2.92201,1.46661,4.61456,2.12756,3.26141,not_hand_wash
4.30039,2.10942,1.59504,3.20916,7.81795,4.00303,not_hand_wash
1.57522,2.68492,1.52813,3.33252,9.44672,2.54278,not_hand_wash
1.39672,1.66286,4.20783,5.52985,6.88708,2.78529,not_hand_wash
2.11658,0.61519,6.11559,1.44986,7.46235,1.71816,not_hand_wash
2.37580,0.63572,5.33059,1.36575,7.87802,1.94857,not_hand_wash
2.37384,0.52594,5.52473,1.22846,7.87569,1.75325,not_hand_wash
2.32004,0.56808,5.74000,1.33773,7.72879,1.74419,not_hand_wash
2.36989,0.58612,5.58608,1.27638,7.82256,1.78557,not_hand_wash
2.22605,0.64200,5.94812,1.39182,7.56982,1.71559,not_hand_wash
2.46754,0.65557,6.59794,1.57370,6.92545,1.59427,not_hand_wash
2.49823,0.59070,6.12860,1.54828,7.35245,1.70716,not_hand_wash
2.53305,0.60648,5.94267,1.39366,7.48594,1.67249,not_hand_wash
2.53608,0.57009,5.89367,1.33742,7.54863,1.69385,not_hand_wash
2.51954,0.57026,5.89918,1.32734,7.53641,1.68753,not_hand_wash
2.55966,0.57353,5.87492,1.31104,7.54560,1.68036,not_hand_wash
2.54147,0.63761,5.98466,1.49630,7.32557,1.80122,not_hand_wash
2.54346,0.57367,6.36249,1.44448,7.12479,1.60038,not_hand_wash
2.58753,0.58292,6.18618,1.38539,7.27811,1.63174,not_hand_wash
2.20362,1.38599,7.75931,2.48908,4.35931,3.93420,not_hand_wash
3.98383,6.73776,0.18404,8.39591,-0.08585,4.33070,not_hand_wash
-2.33046,2.98477,9.92038,3.80519,0.99232,2.20719,not_hand_wash
0.84694,0.49651,8.11655,1.83084,-3.25356,2.06965,not_hand_wash
1.86830,1.71280,4.24372,5.05953,1.46801,7.30253,not_hand_wash
6.67166,2.29676,5.53303,2.87027,2.27573,2.85693,not_hand_wash
6.94531,1.58907,6.48376,1.49551,0.84862,0.39119,not_hand_wash
6.86946,1.54653,6.52911,1.47374,0.97796,0.27761,not_hand_wash
6.89756,1.54051,6.51997,1.47248,1.02781,0.26761,not_hand_wash
6.82562,1.67109,6.43674,1.57932,1.03902,0.27166,not_hand_wash
6.90266,1.53757,6.49607,1.45081,1.04907,0.25464,not_hand_wash
6.90139,1.54844,6.48447,1.44621,1.06108,0.24089,not_hand_wash
6.96611,1.57366,6.42386,1.43833,0.98400,0.30789,not_hand_wash
6.92824,1.47510,6.28142,1.44649,1.95899,1.21467,not_hand_wash
7.11379,1.60133,6.25997,1.50494,1.14383,0.90767,not_hand_wash
6.89745,1.60732,6.38146,1.46772,1.56849,0.65927,not_hand_wash
7.06696,1.61862,6.33171,1.49758,1.86464,0.79193,not_hand_wash
1.11531,1.17863,9.20465,2.10580,-1.84164,0.91711,not_hand_wash
5.55757,1.95089,7.40883,1.85920,1.06641,0.64206,not_hand_wash
7.02287,1.58853,6.36074,1.56396,0.25904,1.15539,not_hand_wash
6.90452,1.68752,6.15550,1.62542,0.83456,1.51709,not_hand_wash
6.90654,1.57013,6.64391,1.59404,-1.23704,0.69641,not_hand_wash
4.02585,3.50376,3.50951,4.45648,6.51971,4.57251,not_hand_wash
1.99143,4.67699,5.54657,8.92890,4.26874,6.62157,not_hand_wash
2.55984,2.41777,6.49031,7.60358,4.08154,4.57752,not_hand_wash
2.00053,1.35021,7.16890,1.95648,6.48305,1.75433,not_hand_wash
2.24608,0.58969,6.63705,1.58712,6.97190,1.60965,not_hand_wash
2.31590,0.59912,6.60100,1.62415,6.94740,1.66767,not_hand_wash
2.33214,0.54360,6.56792,1.49868,7.01127,1.58432,not_hand_wash
2.19038,0.53353,6.81146,1.53884,6.82907,1.53947,not_hand_wash
1.98361,0.47895,6.87210,1.60150,6.79879,1.56705,not_hand_wash
1.97829,0.44794,6.65030,1.48383,7.06245,1.57095,not_hand_wash
1.99123,0.50068,6.68044,1.64781,6.88146,1.69097,not_hand_wash
2.15058,0.49296,6.74132,1.51201,6.90758,1.54611,not_hand_wash
2.13228,0.48324,6.71376,1.50593,6.94748,1.54989,not_hand_wash
2.12768,0.48036,6.76540,1.51006,6.90717,1.53987,not_hand_wash
2.14676,0.48437,6.72899,1.50977,6.92074,1.55138,not_hand_wash
1.97660,1.09330,7.38179,2.27427,6.97321,1.54151,not_hand_wash
5.68568,3.92666,4.96477,4.68046,-1.56966,3.97689,not_hand_wash
5.04363,4.01976,3.42151,6.61672,-1.51932,6.03111,not_hand_wash
0.98058,0.60573,-1.11382,1.27476,9.88866,2.34787,not_hand_wash
1.20349,0.68893,1.57574,1.13024,9.54642,2.09428,not_hand_wash
6.97440,2.14207,3.78694,1.31131,5.84250,1.61750,not_hand_wash
7.56551,1.70375,3.61739,0.84240,4.74794,1.08663,not_hand_wash
7.57477,1.69174,3.76458,0.87303,4.59871,1.05447,not_hand_wash
7.39373,1.65296,3.89865,0.87608,4.83012,1.08700,not_hand_wash
7.31602,1.78725,3.85946,0.97085,4.79527,1.17747,not_hand_wash
7.35918,1.64288,3.83320,0.87397,4.94613,1.10624,not_hand_wash
7.39296,1.64940,3.77657,0.85348,4.91760,1.10214,not_hand_wash
7.37881,1.65339,3.85425,0.89393,4.87279,1.10646,not_hand_wash
7.43109,1.65468,3.83334,0.85543,4.82248,1.07406,not_hand_wash
7.40219,1.64526,3.85894,0.86519,4.82516,1.07952,not_hand_wash
7.39454,1.65045,3.87049,0.86555,4.84595,1.08025,not_hand_wash
7.37394,1.64939,3.89059,0.87159,4.86592,1.08891,not_hand_wash
7.37365,1.64350,3.87656,0.86457,4.87734,1.08437,not_hand_wash
7.39716,1.64859,3.89257,0.87813,4.82410,1.08017,not_hand_wash
7.55532,1.69372,3.66112,0.88029,4.73748,1.07918,not_hand_wash
7.50879,1.68084,3.68448,0.82668,4.78625,1.07166,not_hand_wash
7.43729,1.81384,3.67952,0.89920,4.72929,1.15407,not_hand_wash
7.50699,1.67149,3.72211,0.82913,4.77224,1.06276,not_hand_wash
7.49231,1.67732,3.68404,0.85573,4.83207,1.08547,not_hand_wash
7.48371,1.67698,3.67473,0.82870,4.83606,1.08499,not_hand_wash
7.47893,1.67013,3.68514,0.85088,4.85953,1.09046,not_hand_wash
7.46978,1.67633,3.72480,0.86864,4.85168,1.09277,not_hand_wash
7.48264,1.65962,3.73738,0.85646,4.81187,1.07513,not_hand_wash
